Unnamed: 0,text,Label_by_zihan,Label_by_ben,Label_by_nicole,average,label,Qwen 1.5 Chat (0.5B),Qwen 1.5 Chat (1.8B),Qwen 1.5 Chat (4B),Qwen 1.5 Chat (7B),Qwen 1.5 Chat (14B),Qwen 1.5 Chat (72B),LLaMA-2 Chat (70B),GPT-4o,GPT-3.5 Turbo,GPT-4 Turbo,GPT-4o W/O Reasoning,Sentiment Roberta,Custmized Bert
234,White-collar supremacy is CODE used by liberal fascists for People who Work for Living in a Real Job #pjnet #trump #tcot #UniteBlue #p2,3.0,5.0,4.0,4.0,0,5.0,7.0,0.0,0.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0299902,2.6180744
235,Okay but many alt rightists worship HitlerYou people can't keep pretending they aren't Third Reich 2.0,3.0,3.0,3.0,3.0,0,7.0,7.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,2.9056296,2.700683
236,#Tigers #Memorabilia 2013 DETROIT TIGERS TICKET LOT OF 3 vs WHITE SOX CABRERA VERLANDER VGC L@@K! #Vintage #Sports,4.0,5.0,5.0,4.666666667,10,7.0,3.0,9.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,5.30523,5.7664375
237,BEN 'THE SENSATION' HALL v CARSON JONES - OFFICIAL WEIGH IN & FACE OFF V...,7.0,5.0,5.0,5.666666667,5,0.0,7.0,0.0,0.0,7.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0738916,5.139635
238,everyone in the country is worried about our presidency and you and your girl still whining about the cy young.shut up dude,2.0,3.0,3.0,2.666666667,0,1.0,10.0,0.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.8911238,2.645234
239,Thats not going to happen. The media will use him in an attempt to smear all conservatives. Spencer will relish in it.,3.0,4.0,4.0,3.666666667,0,0.0,7.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,3.113017,2.7142694
240,"Sadly, this is how Steve Bannon sees all Jews.",3.0,3.0,4.0,3.333333333,0,0.0,7.0,0.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.748176,2.721667
241,"Ben Shapiro on Steve Bannon, the alt-right, and how they're using Trump while he's too stupid to see it. #FuckTrump",2.0,3.0,4.0,3.0,0,0.0,7.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,0.0,2.9360301,2.5625885
242,"Oh right, I have to save up $60 by February if I wanna get Persona 5.",5.0,5.0,5.0,5.0,5,0.0,7.0,0.0,6.0,4.0,6.0,6.0,7.0,5.0,6.0,6.0,5.424254,6.264895
243,"If the Community Spouse Dies Before the #Medicaid Recipient, Can #Medicaid Collect from the - via",5.0,5.0,5.0,5.0,5,0.0,7.0,6.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.791956,4.89347
244,Someone didn't just ask you that lol. Tommy Why would you be happy with any race doing a crime. The Liberals need bed🤗,2.0,3.0,4.0,3.0,0,0.0,10.0,0.0,1.0,3.0,4.0,2.0,4.0,2.0,3.0,2.0,3.125314,3.7818675
245,"Fake news, Election Day hacks, Wikileaks, Comey, Russia, Jill Stein, Gary Johnson, etc. are all to blame, but Clinton herself, isn’t.",2.0,4.0,4.0,3.333333333,0,0.0,5.0,6.0,1.0,3.0,5.0,3.0,3.0,2.0,4.0,1.0,2.8455403,3.000003
246,"I just want to move to LA, work a minimum wage job. Make clothes and paint all day. Do some community organizing. Start a modeling career.",5.0,6.0,6.0,5.666666667,5,7.0,7.0,1.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,5.528737,5.8245687
247,"I dunno, from my porch view of Europe, there is certainly creeping unease, Baltics, Scandi, rightists in FR, IT, AU…",4.0,5.0,4.0,4.333333333,0,5.0,1.0,6.0,6.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,3.557053,3.7614632
248,Watch Tesla Model S P85D’s instant speed avoid a potential rear-end collision,7.0,6.0,7.0,6.666666667,10,9.0,10.0,0.0,9.0,7.0,5.0,8.0,8.0,9.0,8.0,8.0,5.3718624,6.3597026
249,"Positive news - #France to enforce labeling of products produced in illegal #settlements, etc.: #Palestine #Israel",8.0,8.0,7.0,7.666666667,10,7.0,7.0,10.0,9.0,6.0,8.0,8.0,6.0,6.0,8.0,5.0,6.3841743,6.4144597
